nid,vid,title,description,type,creator,contributor,date_issued,date_issued_start,date_issued_end,date_other,alternate_title,subject,annotations,form,identifier_local,caption,extent,note,city,state,country,continent,region,coordinates,extraterrestrialarea,projection,scale,publisher,origin_info_place,copyright_date,physical_location,provenance,access_condition,language,purl,fullsize,thumbnail
85360,85360,Territory of Minnesota,,Cartographic,"Rogers, Henry D. (Henry Darwin), 1808-1866",,1857,,,,,Minnesota_Maps,,Paper Map,map00033 | G4140 1857 .R8,,17 x 13 inches,"Plate from: Atlas of United States &c., according to text in upper left corner of map sheet.",,Minnesota,,North America,,,,,,John Murray,London,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89332,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006928.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006928.jpg
85361,85361,Minnesota,,Cartographic,,,1856,,,,,Minnesota_Maps,,Paper Map,map00034 | G4140 1857 .C6,,12.5 x 15.5 inches,"Atlas plate 49.  Longitude west from Greenwich and Washington, D.C.  Map may have been published in 1856 or later.",,Minnesota,,North America,,,,,,J.H. Colton & Co.,New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89333,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006922.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006922.jpg
85362,85362,Map of Minnesota Territory,,Cartographic,"Young, J. H. (James Hamilton)",,1856,,,,,Minnesota_Maps,,Paper Map,map00035 | G4140 1856 .Y8,,13 x 16 inches,"Atlas plate 36.  Longitude west from Greenwich and Washington, D.C.  Explanatory text includes _Lands of the Dacota or Sioux Indians_ and _Minni Wakan Lake._",,Minnesota,,North America,,,,,,Charles Desilver,Philadelphia,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89334,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006919.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006919.jpg
85363,85363,Map of Minnesota and part of Wisconsin,,Cartographic,,,1856,,,,,Minnesota_Maps,,Paper Map,map00036 | G4140 1856 .E5,,17 x 21 inches,"Title on accompanying cover: Ensign, Bridgman & Fanning_s Map of Minnesota.  Date of copyright registration 1855.",,Minnesota | Wisconsin,,North America,,,,,,"Ensign, Bridgman & Fanning",New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89335,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006914.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006914.jpg
85364,85364,Minnesota,,Cartographic,,,1855,,,,,Minnesota_Maps,,Paper Map,map00037 | G4140 1856 .C6,,16 X 18 inches,"Atlas plate 49.  Longitude west from Greenwich and Washington, D.C.  Possibly a map from: Colton_s Atlas of America, 1856, according to an early cataloger_s note.",,Minnesota,,North America,,,,,,J.H. Colton & Co.,New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89336,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006913.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006913.jpg
85365,85365,Minnesota,,Cartographic,"Colton, J. H. (Joseph Hutchins), 1800-1893",,1855,,,,,Minnesota_Maps,,Paper Map,map00038 | G4140 1855 .C6,,12.5 x 15.5 inches,"Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,J.H. Colton & Co.,New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89337,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006907.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006907.jpg
85366,85366,Minnesota,,Cartographic,,,1856,,,,,Minnesota_Maps,,Paper Map,map00039 | G4140 1855-57 .C6,,12 x 14.5 inches,"Plate 51 of General atlas, 1857, according to an early cataloger_s note.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,J.H. Colton & Co.,New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89338,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006905.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006905.jpg
85367,85367,Map of Minnesota Territory,,Cartographic,"Young, J. H. (James Hamilton)","Thomas, Cowperthwait & Co. (Original copyright holder)",1854,,,,,Minnesota_Maps,,Paper Map,map00040 | G4140 1854.Y8,,17 x 14 inches,"Atlas plate 36.  Longitude west from Greenwich and Washington, D.C.  Explanatory text includes _Lands of the Dacota or Sioux Indians_ and _Minni Wakan Lake._  Date of copyright registration 1850.",,Minnesota,,North America,,,,,,"Cowperthwait, Desilver & Butler",Philadelphia,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89339,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006901.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006901.jpg
85368,85368,Map of Minnesota Territory,,Cartographic,,"Thomas, Cowperthwait & Co. (Original copyright holder)",1851,,,,,Minnesota_Maps,,Paper Map,map00041 | G4140 1851 .C8,,13 x 16 inches,"Longitude west from Greenwich and Washington, D.C.  Map may have been published in 1851.",,Minnesota,,North America,,,,,,"[Thomas, Cowperthwait & Co.?]",Philadelphia?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89340,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006895.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006895.jpg
85369,85369,Map of Minnesota Territory,,Cartographic,,"Thomas, Cowperthwait & Co. (Original copyright holder)",1850,,,,,Minnesota_Maps,,Paper Map,map00042 | G4140 1850 .C8,,13 x 16 inches,"Atlas plate 36.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,"[Thomas, Cowperthwait & Co.?]",Philadelphia?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89341,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006888.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006888.jpg
85370,85370,"Map of the Territory of Minnesota : exhibiting the route of the expedition to the Red River of the North, in the sum",,Cartographic,"Pope, John, 1822-1892","Morawski, P. S. (Draftsman)",1849,,,,,Minnesota_Maps,,Paper Map,map00043 | G4140 1849 .P6,,28 x 25 inches,"Map may have been published in 1850, according to an early cataloger_s note.",,Minnesota,,North America,,,,,,Corps of Topographical Engineers,"Washington, D.C.?",,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89342,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006872.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006872.jpg
85371,85371,Minnesota,,Cartographic,"[Colby, Charles Galusha, 1830-1866?]",,1857,,,,,Minnesota_Maps,,Paper Map,map00044 | G4140 1857 .C8,,7 x 6 inches,"Possibly a page from Colby_s atlas: The World in Miniature, according to an early cataloger_s note.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[s.n.],United States?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89343,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1006866.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1006866.jpg
85372,85372,"Post route map of the state of Minnesota with adjacent parts of Iowa, Nebraska, Dakota, Wisconsin, and of the Britis",,Cartographic,"Nicholson, W. L. (Topographer)","McClelland, D. (Engraver)",1876,,,,,Minnesota_Maps,,Paper Map,map00045 | G4141 1876 .P8,,56 x 40 inches,"Longitude west from Washington, D.C.  Stated on map: _Designed and constructed under the orders of Postmaster General Marshall Jewell and Second Assistant Postmaster General James N. Tyner_._",,Minnesota | Iowa | Nebraska | South Dakota | North Dakota | Wisconsin,,North America,,,,,,Post Office Dept.,"Washington, D.C.?",,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89344,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007078.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007078.jpg
85373,85373,Map of the state of Minnesota,,Cartographic,,,1870,,,,,Minnesota_Maps,,Paper Map,map00046 | G4140 1876 .T2,,29 x 22 inches,"Atlas plates 19 and 20.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,Taintor Bros. & Merrill,New York,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89345,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007091.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007091.jpg
85374,85374,Railroads commissioners' map of Minnesota,,Cartographic,Rand McNally and Company,,1899,,,,,Minnesota_Maps,,Paper Map,map00047 | G4141 1899 .P3,,27 x 40 inches,"Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,Rand McNally & Co.,Chicago,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89346,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007114.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007114.jpg
85375,85375,State of Minnesota,,Cartographic,United States. General Land Office.,"Bien, Julius, 1826-1909 (Photo lithographer and printer)",1876,,,,,Minnesota_Maps,,Paper Map,map00048 | G4140 1876 .U5,,30 x 23 inches,"Scale [ca. 1:950,400]. 15 miles to 1 inch.  At head of title: Department of the Interior, General Land Office, J. A. Williamson, Commissioner.  Map shows status of surveys and land offices.",,Minnesota,,North America,,,,,,The Office,"Washington, D.C.?",,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89347,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007130.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007130.jpg
85376,85376,State of Minnesota,,Cartographic,United States. General Land Office.,"Bien, Julius, 1826-1909 (Photo lithographer and printer)",1876,,,,,Minnesota_Maps,,Paper Map,map00049 | G4141 .B5 1876 .U55X,,30 x 23 inches,"Aleph system ID 2521119.  Scale [ca. 1:950,400]. 15 miles to 1 inch.  At head of title: Department of the Interior, General Land Office, S.S. Burdett, Commissioner.  Map shows status of surveys and land offices.",,Minnesota,,North America,,,,,,The Office,"Washington, D.C.?",,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89348,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007131.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007131.jpg
85377,85377,Rice's new sectional map of the State of Minnesota,,Cartographic,"Rice, G. Jay (Original copyright holder)",,1883,,,,,Minnesota_Maps,,Paper Map,map00050 | G4141 .B5 1883 .R4,,33.5 x 28.75 inches,"_Revised August Edition 1883._  Inset map: Map of St. Paul, Minneapolis & vicinity.  _Copyright 1880 by G. Jay Rice._",,Minnesota,,North America,,,,,,St. Paul Lithographing & Publishing Co.,"Saint Paul, Minnesota",,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89349,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007129.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007129.jpg
85378,85378,County map of Minnesota,,Cartographic,"Gamble, W. H. (William H.) (Draftsman and engraver)","Mitchell, S. Augustus (Samuel Augustus), 1792-1868 (Original copyright holder)",1873,,,,,Minnesota_Maps,,Paper Map,map00051 | G4140 1877 .G2,,14 x 11.5 inches,"Atlas plate 81.  Date of copyright registration 1877.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[S. Augustus Mitchell?],Philadelphia?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89350,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007128.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007128.jpg
85379,85379,County map of Minnesota,,Cartographic,,Wm. M. Bradley & Bros. (Original copyright holder),1883,,,,,Minnesota_Maps,,Paper Map,map00052 | G4140 1887 .B7,,15 x 12 inches,"Atlas plate 81.  Longitude west from Greenwich and Washington, D.C.  Shows county boundaries as of 1883.  Copyright 1887.",,Minnesota,,North America,,,,,,[Wm. M. Bradley & Bro.?],Philadelphia?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89351,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007127.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007127.jpg
85380,85380,Cram's railroad & township map of Minnesota,,Cartographic,,"Cram, George Franklin, 1841-1928 (Original copyright holder)",1877,,,,,Minnesota_Maps,,Paper Map,map00053 | G4141 .P3 1877 .C8,,22 x 16 inches,Date of copyright registration 1876.,,Minnesota,,North America,,,,,,Geo. F. Cram,Chicago,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89352,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007126.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007126.jpg
85381,85381,Minnesota,,Cartographic,,,1871,,,,,Minnesota_Maps,,Paper Map,map00054 | G4140 [1877] .G7,,23 x 16 inches,"Atlas plates 108 and 109.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[s.n.],United States?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89353,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007125.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007125.jpg
85382,85382,County map of Minnesota,,Cartographic,"Gamble, W. H. (William H.) (Draftsman and engraver)","Mitchell, S. Augustus (Samuel Augustus), 1792-1868 (Original copyright holder)",1873,,,,,Minnesota_Maps,,Paper Map,map00055 | G4140 1878 .G2,,13.75 x 11.5 inches,"Atlas plate 81.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[S. Augustus Mitchell?],Philadelphia?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89354,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007124.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007124.jpg
85383,85383,County map of Minnesota,,Cartographic,"Gamble, W. H. (William H.) (Draftsman and engraver)","Mitchell, S. Augustus (Samuel Augustus), 1792-1868 (Original copyright holder)",1879,,,,,Minnesota_Maps,,Paper Map,map00056 | G4140 1880.G2,,14 x 11.5 inches,"Atlas plate 81.  Date of copyright registration 1880.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[S. Augustus Mitchell?],Philadelphia?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89355,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007109.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007109.jpg
85384,85384,Minnesota,,Cartographic,,Wm. M. Bradley & Bros. (Original copyright holder),1884,,,,,Minnesota_Maps,,Paper Map,map00057 | G4140 1884 .B2,,22 x 16 inches,Atlas plate 48.,,Minnesota,,North America,,,,,,[Wm. M. Bradley & Bro.?],Philadelphia?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89356,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007104.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007104.jpg
85385,85385,Map of Minnesota,,Cartographic,,Berlandi & Bott (Lithographers),1885,,,,,Minnesota_Maps,,Paper Map,map00058 | G4140 1885 .M4,,21 x 17.75 inches,Includes a location map of Minnesota and a township diagram.,,Minnesota,,North America,,,,,,State Board of Immigration,"Saint Paul, Minnesota?",,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89357,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007092.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007092.jpg
85386,85386,Tunison's Minnesota,,Cartographic,,"[Tunison, Henry Cuthbert, 1855-]",1885,,,,,Minnesota_Maps,,Paper Map,map00059 | G4140 1885 .T8,,14 x 12 inches,"Atlas plate 69.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[Tunison?],Illinois?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89358,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007082.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007082.jpg
85387,85387,Minnesota : engraved for Gaskell's atlas of the world,,Cartographic,,,1886,,,,,Minnesota_Maps,,Paper Map,map00060 | G4140 1886 .G2,,13 x 10 inches,"Atlas plate 113.  Possibly a map from: Gaskell's new and complete family atlas of the world, according to an early cataloger_s note.  Longitude west from Greenwich and Washington, D.C.  Map of Missouri on verso.",,Minnesota,,North America,,,,,,[Fairbanks & Palmer?],Chicago?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89359,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007077.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007077.jpg
85388,85388,Minnesota,,Cartographic,,,1889,,,,,Minnesota_Maps,,Paper Map,map00061 | G4140 1889 .C7,,22 x 16 inches,"Atlas plates 132 and 133.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,[s.n.],United States?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89360,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007070.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007070.jpg
85389,85389,"Rand, McNally & Co's map of Minnesota",,Cartographic,Rand McNally and Company,,1888,,,,,Minnesota_Maps,,Paper Map,map00062 | G4140 1891 .R2,,"2 sheets, each 10 x 13 inches","Atlas plates 84 and 85 from: Rand, McNally and Co._s Neuer Familien Atlas der Welt, 1891.  At bottom of map: Rand, McNally & Co._s Business Atlas Map of Minnesota.  Longitude west from Greenwich and Washington, D.C.",,Minnesota,,North America,,,,,,"Rand, McNally and Co.",Chicago,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89361,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007060.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007060.jpg
85390,85390,Map of Minnesota,,Cartographic,,"Mast, Crowell & Kirkpatrick (Original copyright holder)",1899,,,,,Minnesota_Maps,,Paper Map,map00063 | G4140 [1899] .M2,,13 x 10 inches,"Atlas plate 27.  Longitude west from Greenwich and Washington, D.C.  Map of Wisconsin on verso.",,Minnesota,,North America,,,,,,"[Mast, Crowell & Kirkpatrick?]",United States?,,"University of Minnesota Libraries, John R. Borchert Map Library. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",,"Use of this image may be governed by U.S. and international copyright laws. Please contact the John R. Borchert Map Library for permission to publish this image. <a href=""http://map.lib.umn.edu"">http://map.lib.umn.edu</a>",eng,http://purl.umn.edu/89362,http://umedia.lib.umn.edu/sites/default/files/reference/60/image/jpeg/1007049.jpg,http://umedia.lib.umn.edu/sites/default/files/imagecache/square300/reference/60/image/jpeg/1007049.jpg
